CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Imovel;Endereco;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Imovel_Total_Investido;Categoria
29.641.226/0001-53;2024-12-31;1;Aquisição Colégio POP;Praça Padre Aleixo Monteiro Mafra, 18;4225.76;1;-;0.003565;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja Arapiraca;Rua Maria Genusir Soares, nº 308;11503;1;-;0.015891;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja Camaçari;Av. Jorge Amado, s/n;12732;1;-;0.019099;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja Castanhal;Av. Presidente Vargas, 5600;11070;1;-;0.012499;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja Curitiba;Av. Juscelino Kubitschek de Oliveira, 2511;12880;1;-;0.025928;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja Guanambi;Estrada Lagoa Patos (BR 030), km 6;10806;1;-;0.012904;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja Palmas;Av. Joaquim Teotônio Segurado, s/n;15789;1;-;0.019129;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja Taubaté;Av. Dom Pedro I, E-630;12950;1;-;0.019905;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja Iguatu;Av. Carlos Roberto Costa, 180;11257;1;-;0.013062;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja Petrópolis;Estrada União e Indústria, 870;14196;1;-;0.021493;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja Rondonópolis;Av. Bandeirantes, nº 4.335;14415;1;-;0.021871;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja Porto Velho;Rodovia BR 364, s/n, Km 3,5;7910;1;-;0.005402;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja Rio Branco;Rua São João, 2500, Floresta;7710;1;-;0.006162;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja São Luis;Av. Jerônimo de Albuquerque, 260;7867.87;1;-;0.00789;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja São  Paulo - Brooklin;Rua Joaquim Nabuco, 112/126 - Brooklin;1056.82;1;-;0.004831;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja São Paulo - Rua Direita;Rua Direita, 226 - Centro;2611.29;1;-;0.006525;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja São Paulo - Teodoro Sampaio;Rua Teodoro Sampaio, 2.160 - Pinheiros;4887.67;1;-;0.0085;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja São Paulo - Tucuruvi;Av. Tucuruvi, 400 - Tucuruvi;2750;1;-;0.003409;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja Registro;Av. Prof. Jonas Banks Leite, 497 - Centro;3020.96;1;-;0.003341;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja Caraguatatuba;Praça Dr. Cândido Mota, 145 - Centro;2549.59;1;-;0.00351;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja Ribeirão Preto - Campos Elíseos;Av. da Saudade, 1.119/1.129 - Centro;2330.62;1;-;0.003303;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja Botucatu;Rua Amando de Barros, 470 - Centro;2422.42;1;-;0.002775;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja Guarapuava;Rua XV de Novembro, 7.795 - Centro;3802.42;1;-;0.003587;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja Muzambinho;Av. Dr. Américo Luz, 172 - Centro;790.7;1;-;0.001232;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja Ituiutaba;Rua Vinte e Dois, 798 - Centro;806;1;-;0.001053;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja Jaboticabal;Rua Barão do Rio Branco, 665 - Centro;1560.95;1;-;0.002084;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja Pirassununga;Rua Duque de Caxias, 1.412 - Centro;1445.12;1;-;0.001798;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja Jales;Av. Francisco Jales, 2.367 - Centro;1310.35;1;-;0.001779;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja Paranaíba;Rua Coronel Carlos, 1.595 - Centro;1823.51;1;-;0.001313;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja Taquaritinga;Rua Prudente de Moraes, 485 - Centro;1160.54;1;-;0.001477;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja Aquidauana;Rua Sete de Setembro, 585 - Centro;1836.52;1;-;0.001149;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja Jardim;Av. Duque de Caxias, 436 - Centro;867.28;1;-;0.000699;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja Concórdia;Rua do Comércio, 173 - Centro;656.86;1;-;0.0011;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja Foz do Iguaçu;Av. Brasil, 1.015 - Centro;3524.82;1;-;0.002553;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja Jacarezinho;R. Paraná, 889 - Centro;1218.24;1;-;0.001033;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja Campo Mourão;Av. Cap. Índio Bandeira, 1.421 - Centro;1132;1;-;0.001307;Renda
30.178.506/0001-56;2024-03-31;1;BARRA DO BUG;Rod. MT 247, Barra a Lambari - Barra do Bugres - MT;12500;1;n/a;0;Renda
30.178.506/0001-56;2024-03-31;1;PIRAPOZINHO;Rod. Assis Chateaubriand, km 476 - Presidente Epitácio - SP;120000;1;n/a;0;Renda
30.178.506/0001-56;2024-03-31;1;FAZENDA BANDEIRANTES;Presidente Epitácio - SP;1;1;n/a;0;Venda
30.178.506/0001-56;2024-03-31;1;PRES PRUDENT;José de Sales Macuci, 215, Lote 008 e 009, quadra A - SP;1840;1;n/a;0;Venda
30.492.505/0001-81;2024-06-30;1;Imóvel Dona Mariana;Rua Dona Mariana, nº 63, Botafogo - Rio de Janeiro - RJ;1161.6;1;Prédio de 2 pavimentos e domínio útil de terreno medindo: 66m de comprimento e 17,60 de frente e fundos. Terreno com área de 1.161,60.  Objeto da matrícula 0045301 do 3° Ofício de Registro de Imóveis da Comarca do Rio de Janeiro - RJ;0.173248;Venda
30.492.505/0001-81;2024-06-30;1;Imóvel Jornalista Henrique Cordeiro;Rua Jornalista Henrique Cordeiro, nº 200, Barra da Tijuca - Rio de Janeiro - RJ;2560;1;Lote 2 do PAL 49230 situado na Rua Jornalista Henrique Cordeiro, lado par. Área de terreno: 2.560m². Objeto da matrícula 476786 do 9° Ofício de Registro de Imóveis da Comarca do Rio de Janeiro - RJ;0.213617825524719;Venda
30.492.505/0001-81;2024-06-30;1;Imóvel Prof. Pereira Reis;Rua Professor Pereira Reis, nº 119, Santo Cristo - Rio de Janeiro - RJ;1869.86;1;Prédio e domínio útil de terreno. Área do terreno=1.869,86. Objeto da matrícula 19771 do 2° Ofício de Registro de Imóveis da Comarca do Rio de Janeiro - RJ;0.084552;Venda
30.567.216/0001-02;2024-03-31;1;Edifício Wilson Mendes Caldeira;Av. das Nações Unidas, 10.989;559.89;1;Cj. 82;0.379611;Renda
30.567.216/0001-02;2024-03-31;1;Edifício Ronaldo Sampaio;Praça João Duran Alonso, 34;380.785;1;Cj. 42;0.348516;Renda
30.567.216/0001-02;2024-03-31;1;Edifício Business Center;Rua Teixeira da Silva, 650/660;257.39;2;Cjs. 133 e 134;0.10491;Renda
