CNPJ_Fundo;Data_Referencia;Versao;Nome_Endereco_Imovel;Caracteristicas_Contratuais
01.657.856/0001-05;2020-03-31;1;Rua Junqueira Ayres, 165 - Barris - Salvador - BA;Os contratos obdecem as mesmas caracteristicas, os locatários tem o mesmo tratamento contratual, com cláusulas específicas para Shopping Centers.
01.657.856/0001-05;2020-06-30;1;Rua Junqueira Ayres, 165 - Barris - Salvador - BA;Os contratos obdecem as mesmas caracteristicas, os locatários tem o mesmo tratamento contratual, com cláusulas específicas para Shopping Centers.
01.657.856/0001-05;2020-09-30;1;Rua Junqueira Ayres, 165 - Barris - Salvador - BA;Os contratos obdecem as mesmas caracteristicas, os locatários tem o mesmo tratamento contratual, com cláusulas específicas para Shopping Centers.
01.657.856/0001-05;2020-12-31;1;Rua Junqueira Ayres, 165 - Barris - Salvador - BA;Os contratos obdecem as mesmas caracteristicas, os locatários tem o mesmo tratamento contratual, com cláusulas específicas para Shopping Centers.
02.027.437/0001-44;2020-03-31;1;Ed Brasílio Machado;Os contratos de locação são dos imóveis do Fundo  preveem  período de de garantia de permanência, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo o locatário, correção anual do valor da locação pelo IGP-M.
02.027.437/0001-44;2020-06-30;1;Ed Brasílio Machado;Os contratos de locação são dos imóveis do Fundo  preveem  período de de garantia de permanência, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo o locatário, correção anual do valor da locação pelo IGP-M.
02.027.437/0001-44;2020-09-30;1;Ed Brasílio Machado;Os contratos de locação são dos imóveis do Fundo  preveem  período de de garantia de permanência, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo o locatário, correção anual do valor da locação pelo IGP-M.
02.027.437/0001-44;2020-12-31;1;Ed Brasílio Machado;Os contratos de locação são dos imóveis do Fundo  preveem  período de de garantia de permanência, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo o locatário, correção anual do valor da locação pelo IGP-M.
02.508.235/0001-14;2020-03-31;1;Contagem;O contrato é típico, corrigido anualmente pela variação positiva do IGPM. As demais cláusulas são confidenciais.
02.508.235/0001-14;2020-06-30;1;Contagem;O contrato é típico, corrigido anualmente pela variação positiva do IGPM. As demais cláusulas são confidenciais.
02.508.235/0001-14;2020-09-30;1;Contagem;O contrato é típico, corrigido anualmente pela variação positiva do IGPM. As demais cláusulas são confidenciais.
02.508.235/0001-14;2020-12-31;1;Contagem;O contrato é típico, corrigido anualmente pela variação positiva do IGPM. As demais cláusulas são confidenciais.
03.251.720/0001-18;2020-03-31;1;Av. Francisco Matarazzo, 1500;Garantia de contrato de caução em dinheiro
03.251.720/0001-18;2020-03-31;1;Av. Francisco Matarazzo, 1500;Cessão Fiduciária
03.251.720/0001-18;2020-06-30;1;Av. Francisco Matarazzo, 1500;Garantia de contrato de caução em dinheiro
03.251.720/0001-18;2020-09-30;1;Av. Francisco Matarazzo, 1500;Garantia de contrato de caução em dinheiro
03.251.720/0001-18;2020-12-31;1;Av. Francisco Matarazzo, 1500;Garantia de contrato de caução em dinheiro
03.507.519/0001-59;2020-03-31;1;Shopping Higienópolis;Contratos típicos de 5 anos, ajustados anualmente pelo indíce IGP-M ou IGP-DI com garantia de Fiadores.
03.507.519/0001-59;2020-06-30;1;Shopping Higienópolis;Contratos típicos de 5 anos, ajustados anualmente pelo indíce IGP-M ou IGP-DI com garantia de Fiadores.
03.507.519/0001-59;2020-09-30;1;Shopping Higienópolis;Contratos típicos de 5 anos, ajustados anualmente pelo indíce IGP-M ou IGP-DI com garantia de Fiadores.
03.507.519/0001-59;2020-12-31;1;Shopping Higienópolis;Contratos típicos de 5 anos, ajustados anualmente pelo indíce IGP-M ou IGP-DI com garantia de Fiadores. Além de contratos temporários e locações temporárias de quiosques e semelhantes.
03.683.056/0001-86;2020-03-31;1;JK FINANCIAL CENTER;Os contratos são majoritaramente reajustados anualmente pelo IGP-M e pelo prazo de 5 anos.
03.683.056/0001-86;2020-03-31;1;JATOBÁ;Os contratos são majoritaramente reajustados anualmente pelo IGP-M e pelo prazo de 5 anos.
03.683.056/0001-86;2020-03-31;1;PARQUE PAULISTA;Os contratos são majoritaramente reajustados anualmente pelo IGP-M e pelo prazo de 5 anos.
03.683.056/0001-86;2020-03-31;1;CETENCO PLAZA;Os contratos são majoritaramente reajustados anualmente pelo IGP-M e pelo prazo de 5 anos.
03.683.056/0001-86;2020-03-31;1;INTERNACIONAL RIO;Os contratos são majoritaramente reajustados anualmente pelo IGP-M e pelo prazo de 5 anos.
03.683.056/0001-86;2020-03-31;1;CANDELÁRIA CORPORATE;Os contratos são majoritaramente reajustados anualmente pelo IGP-M e pelo prazo de 5 anos.
03.683.056/0001-86;2020-03-31;1;PQ CULTURAL PAULISTA;Os contratos são majoritaramente reajustados anualmente pelo IPCA e pelo prazo de 5 anos.
03.683.056/0001-86;2020-03-31;1;PARQUE SANTOS;Os contratos são majoritaramente reajustados anualmente pelo IGP-M e pelo prazo de 5 anos.
03.683.056/0001-86;2020-03-31;1;CONTINENTAL SQUARE;Os contratos são majoritaramente reajustados anualmente pelo IPCA e pelo prazo de 5 anos.
03.683.056/0001-86;2020-06-30;1;JK FINANCIAL CENTER;Os contratos são majoritaramente reajustados anualmente pelo IGP-M e pelo prazo de 5 anos.
03.683.056/0001-86;2020-06-30;1;JATOBÁ;Os contratos são majoritaramente reajustados anualmente pelo IGP-M e pelo prazo de 5 anos.
03.683.056/0001-86;2020-06-30;1;PARQUE PAULISTA;Os contratos são majoritaramente reajustados anualmente pelo IGP-M e pelo prazo de 5 anos.
03.683.056/0001-86;2020-06-30;1;CETENCO PLAZA;Os contratos são majoritaramente reajustados anualmente pelo IGP-M e pelo prazo de 5 anos.
03.683.056/0001-86;2020-06-30;1;INTERNACIONAL RIO;Os contratos são majoritaramente reajustados anualmente pelo IGP-M e pelo prazo de 5 anos.
03.683.056/0001-86;2020-06-30;1;CANDELÁRIA CORPORATE;Os contratos são majoritaramente reajustados anualmente pelo IGP-M e pelo prazo de 5 anos.
03.683.056/0001-86;2020-06-30;1;PQ CULTURAL PAULISTA;Os contratos são majoritaramente reajustados anualmente pelo IPCA e pelo prazo de 5 anos.
03.683.056/0001-86;2020-06-30;1;PARQUE SANTOS;Os contratos são majoritaramente reajustados anualmente pelo IGP-M e pelo prazo de 5 anos.
03.683.056/0001-86;2020-06-30;1;CONTINENTAL SQUARE;Os contratos são majoritaramente reajustados anualmente pelo IPCA e pelo prazo de 5 anos.
03.683.056/0001-86;2020-09-30;1;JK FINANCIAL CENTER;Os contratos são majoritaramente reajustados anualmente pelo IGP-M e pelo prazo de 5 anos.
03.683.056/0001-86;2020-09-30;1;JATOBÁ;Os contratos são majoritaramente reajustados anualmente pelo IGP-M e pelo prazo de 5 anos.
03.683.056/0001-86;2020-09-30;1;PARQUE PAULISTA;Os contratos são majoritaramente reajustados anualmente pelo IGP-M e pelo prazo de 5 anos.
03.683.056/0001-86;2020-09-30;1;CETENCO PLAZA;Os contratos são majoritaramente reajustados anualmente pelo IGP-M e pelo prazo de 5 anos.
03.683.056/0001-86;2020-09-30;1;INTERNACIONAL RIO;Os contratos são majoritaramente reajustados anualmente pelo IGP-M e pelo prazo de 5 anos.
03.683.056/0001-86;2020-09-30;1;CANDELÁRIA CORPORATE;Os contratos são majoritaramente reajustados anualmente pelo IGP-M e pelo prazo de 5 anos.
03.683.056/0001-86;2020-09-30;1;PQ CULTURAL PAULISTA;Os contratos são majoritaramente reajustados anualmente pelo IPCA e pelo prazo de 5 anos.
03.683.056/0001-86;2020-09-30;1;PARQUE SANTOS;Os contratos são majoritaramente reajustados anualmente pelo IGP-M e pelo prazo de 5 anos.
03.683.056/0001-86;2020-09-30;1;CONTINENTAL SQUARE;Os contratos são majoritaramente reajustados anualmente pelo IPCA e pelo prazo de 5 anos.
03.683.056/0001-86;2020-12-31;1;JK FINANCIAL CENTER;Os contratos são majoritaramente reajustados anualmente pelo IGP-M e pelo prazo de 5 anos.
03.683.056/0001-86;2020-12-31;1;JATOBÁ;Os contratos são majoritaramente reajustados anualmente pelo IGP-M e pelo prazo de 5 anos.
03.683.056/0001-86;2020-12-31;1;PARQUE PAULISTA;Os contratos são majoritaramente reajustados anualmente pelo IGP-M e pelo prazo de 5 anos.
03.683.056/0001-86;2020-12-31;1;CETENCO PLAZA;Os contratos são majoritaramente reajustados anualmente pelo IGP-M e pelo prazo de 5 anos.
03.683.056/0001-86;2020-12-31;1;INTERNACIONAL RIO;Os contratos são majoritaramente reajustados anualmente pelo IGP-M e pelo prazo de 5 anos.
03.683.056/0001-86;2020-12-31;1;CANDELÁRIA CORPORATE;Os contratos são majoritaramente reajustados anualmente pelo IGP-M e pelo prazo de 5 anos.
03.683.056/0001-86;2020-12-31;1;PQ CULTURAL PAULISTA;Os contratos são majoritaramente reajustados anualmente pelo IPCA e pelo prazo de 5 anos.
03.683.056/0001-86;2020-12-31;1;PARQUE SANTOS;Os contratos são majoritaramente reajustados anualmente pelo IGP-M e pelo prazo de 5 anos.
03.683.056/0001-86;2020-12-31;1;CONTINENTAL SQUARE;Os contratos são majoritaramente reajustados anualmente pelo IPCA e pelo prazo de 5 anos.
04.066.582/0001-60;2020-03-31;1;Hospital Criança;Não possui caracteristicas que destoem dos demais
04.066.582/0001-60;2020-06-30;1;Hospital Criança;Não possui caracteristicas que destoem dos demais
