CNPJ_Fundo;Data_Referencia;Versao;Nome_Imovel;Setor_Atuacao;Percentual_Receita_Imovel;Percentual_Receitas_FII
01.497.954/0001-14;2020-06-30;1;Praça Montivideo;Sala Comercial;0.1;0.25
01.497.954/0001-14;2020-06-30;1;Edifício Rio Guaiba;Clínica Médica;0.1;0.25
01.497.954/0001-14;2020-06-30;1;Edifício Mostardeiro;Sala Comercial;0.1;0.25
01.497.954/0001-14;2020-06-30;1;Prédio Carlos Gomes;Sala Comercial;0.1;0.22
01.497.954/0001-14;2020-06-30;1;Prédio Dom Pedro;Sala Comercial;0.1;0.25
01.497.954/0001-14;2020-06-30;1;Conjunto Voluntários;Sala Comercial;0.1;0.22
01.497.954/0001-14;2020-06-30;1;Prédio Carlos Gomes;Sala Comercial;0.1;0.25
01.497.954/0001-14;2020-09-30;1;Praça Montivideo;Sala Comercial;0.1;0.25
01.497.954/0001-14;2020-09-30;1;Praça Montivideo;Sala Comercial;0.1;0.25
01.497.954/0001-14;2020-09-30;1;Praça Montivideo;Sala Comercial;0.1;0.25
01.497.954/0001-14;2020-09-30;1;Edifício Rio Guaiba;Clínica Médica;0.1;0.25
01.497.954/0001-14;2020-09-30;1;Edifício Mostardeiro;Sala Comercial;0.1;0.25
01.497.954/0001-14;2020-09-30;1;Prédio Carlos Gomes;Sala Comercial;0.1;0.22
01.497.954/0001-14;2020-09-30;1;Prédio Dom Pedro;Sala Comercial;0.1;0.25
01.497.954/0001-14;2020-09-30;1;Conjunto Voluntários;Sala Comercial;0.1;0.22
01.497.954/0001-14;2020-09-30;1;Prédio Carlos Gomes;Sala Comercial;0.1;0.25
01.497.954/0001-14;2020-12-31;1;Praça Montivideo;Sala Comercial;0.1;0.25
01.497.954/0001-14;2020-12-31;1;Praça Montivideo;Sala Comercial;0.1;0.25
01.497.954/0001-14;2020-12-31;1;Praça Montivideo;Sala Comercial;0.1;0.25
01.497.954/0001-14;2020-12-31;1;Edifício Rio Guaiba;Clínica Médica;0.1;0.25
01.497.954/0001-14;2020-12-31;1;Edifício Mostardeiro;Sala Comercial;0.1;0.25
01.497.954/0001-14;2020-12-31;1;Prédio Carlos Gomes;Sala Comercial;0.1;0.22
01.497.954/0001-14;2020-12-31;1;Prédio Dom Pedro;Sala Comercial;0.1;0.25
01.497.954/0001-14;2020-12-31;1;Conjunto Voluntários;Sala Comercial;0.1;0.22
01.497.954/0001-14;2020-12-31;1;Prédio Carlos Gomes;Sala Comercial;0.1;0.25
01.601.918/0001-59;2020-03-31;1;Eusébio Matoso;Serviço;1;0.906528
01.601.918/0001-59;2020-03-31;1;Eusébio Matoso;Setor2;0;0
01.601.918/0001-59;2020-03-31;1;Eusébio Matoso;Setor3;0;0
01.601.918/0001-59;2020-03-31;1;Eusébio Matoso;SetorN;0;0
01.601.918/0001-59;2020-03-31;1;Dantas Barreto;Serviço;1;0.037743
01.601.918/0001-59;2020-03-31;1;Dantas Barreto;Setor2;0;0
01.601.918/0001-59;2020-03-31;1;Dantas Barreto;Setor3;0;0
01.601.918/0001-59;2020-03-31;1;Dantas Barreto;SetorN;0;0
01.601.918/0001-59;2020-03-31;1;Joaquim Floriano;Setor1;0;0
01.601.918/0001-59;2020-03-31;1;Joaquim Floriano;Setor2;0;0
01.601.918/0001-59;2020-03-31;1;Joaquim Floriano;Setor3;0;0
01.601.918/0001-59;2020-03-31;1;Joaquim Floriano;SetorN;0;0
01.601.918/0001-59;2020-06-30;2;Eusébio Matoso;Serviço;1;0.894291
01.601.918/0001-59;2020-06-30;2;Dantas Barreto;Serviço;1;0.039036
01.601.918/0001-59;2020-06-30;2;Joaquim Floriano;Serviço;0;0
01.601.918/0001-59;2020-09-30;1;Eusébio Matoso;Serviço;1;0.889729
01.601.918/0001-59;2020-09-30;1;Dantas Barreto;Serviço;1;0.039249
01.601.918/0001-59;2020-09-30;1;Joaquim Floriano;Serviço;0;0
01.601.918/0001-59;2020-12-31;2;Eusébio Matoso;Serviço;1;0.88314
01.601.918/0001-59;2020-12-31;2;Dantas Barreto;Serviço;1;0.038569
01.601.918/0001-59;2020-12-31;2;Joaquim Floriano;Serviço;0;0
01.633.741/0001-72;2020-03-31;1;Edificio Memorial Office Building;Turismo;0.253324;0.250782
01.633.741/0001-72;2020-03-31;1;Edificio Memorial Office Building;Transportes;0.185394;0.183534
01.633.741/0001-72;2020-03-31;1;Edificio Memorial Office Building;Transportes;0.134476;0.133127
01.633.741/0001-72;2020-03-31;1;Edificio Memorial Office Building;SetorN;0;0
01.633.741/0001-72;2020-06-30;1;Edificio Memorial Office Building;Turismo;0.167803;0.166234
01.633.741/0001-72;2020-06-30;1;Edificio Memorial Office Building;Transportes;0.216668;0.214642
01.633.741/0001-72;2020-06-30;1;Edificio Memorial Office Building;Transportes;0.157161;0.155692
01.633.741/0001-72;2020-06-30;1;Edificio Memorial Office Building;SetorN;0;0
01.633.741/0001-72;2020-09-30;1;Edificio Memorial Office Building;Turismo;0.26691;0.26691
01.633.741/0001-72;2020-09-30;1;Edificio Memorial Office Building;Transportes;0.172317;0.172317
01.633.741/0001-72;2020-09-30;1;Edificio Memorial Office Building;Transportes;0.124991;0.124991
01.633.741/0001-72;2020-09-30;1;Edificio Memorial Office Building;SetorN;0;0
01.633.741/0001-72;2020-12-31;1;Edificio Memorial Office Building;Turismo;0.16394;0.16188
01.633.741/0001-72;2020-12-31;1;Edificio Memorial Office Building;Transportes;0.273099;0.269667
01.633.741/0001-72;2020-12-31;1;Edificio Memorial Office Building;Comércio;0.107291;0.105942
01.633.741/0001-72;2020-12-31;1;Edificio Memorial Office Building;SetorN;0;0
01.636.325/0001-28;2020-03-31;1;Moinhos Shopping;Vestuário;0.3817;0.3051
01.636.325/0001-28;2020-03-31;1;Moinhos Shopping;Artigos Diversos;0.1173;0.0938
01.636.325/0001-28;2020-03-31;1;Moinhos Shopping;Conveniência/Serviços;0.1289;0.103
01.636.325/0001-28;2020-03-31;1;Hotel Sheraton Porto Alegre;Hotelaria;1;0.12429
01.636.325/0001-28;2020-06-30;1;Moinhos Shopping;Vestuário;0.3817;0.3051
01.636.325/0001-28;2020-06-30;1;Moinhos Shopping;Artigos Diversos;0.1173;0.0938
01.636.325/0001-28;2020-06-30;1;Moinhos Shopping;Conveniência/Serviços;0.1289;0.103
01.636.325/0001-28;2020-06-30;1;Hotel Sheraton Porto Alegre;Hotelaria;1;0.124291
01.636.325/0001-28;2020-09-30;1;Moinhos Shopping;Vestuário;0.3817;0.3051
01.636.325/0001-28;2020-09-30;1;Moinhos Shopping;Artigos Diversos;0.1173;0.0938
01.636.325/0001-28;2020-09-30;1;Moinhos Shopping;Conveniência/Serviços;0.1289;0.103
01.636.325/0001-28;2020-09-30;1;Hotel Sheraton Porto Alegre;Hotelaria;1;0.124291
01.636.325/0001-28;2020-12-31;1;Moinhos Shopping;Vestuário;0.3817;0.3051
01.636.325/0001-28;2020-12-31;1;Moinhos Shopping;Artigos Diversos;0.1173;0.0938
01.636.325/0001-28;2020-12-31;1;Moinhos Shopping;Conveniência/Serviços;0.1289;0.103
01.636.325/0001-28;2020-12-31;1;Hotel Sheraton Porto Alegre;Hotelaria;0;0
01.657.856/0001-05;2020-03-31;1;Shopping Center Piedade;Calçados;0.146453;0.145036
01.657.856/0001-05;2020-03-31;1;Shopping Center Piedade;Confecções;0.162655;0.161082
01.657.856/0001-05;2020-03-31;1;Shopping Center Piedade;Variedades;0.205718;0.203788
01.657.856/0001-05;2020-06-30;1;Shopping Center Piedade;Calçados;0.113596;0.109313
01.657.856/0001-05;2020-06-30;1;Shopping Center Piedade;Alimentação;0.096368;0.092734
01.657.856/0001-05;2020-06-30;1;Shopping Center Piedade;Variedades;0.281007;0.270411
01.657.856/0001-05;2020-09-30;1;Shopping Center Piedade;Variedades;0.303394;0.29971
01.657.856/0001-05;2020-09-30;1;Shopping Center Piedade;Confecções;0.128872;0.127308
01.657.856/0001-05;2020-12-31;1;Shopping Center Piedade;Variedades;0.360491;0.279463
01.657.856/0001-05;2020-12-31;1;Shopping Center Piedade;Confecções;0.156277;0.121151
01.657.856/0001-05;2020-12-31;1;Shopping Center Piedade;Calçados;0.10705;0.082989
02.027.437/0001-44;2020-03-31;1;Ed Brasílio Machado;Serviços;0.464032;0.461765
