CNPJ_Fundo;Data_Referencia;Versao;Nome_Imovel;Endereco;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Imovel_Total_Investido;Categoria
19.722.048/0001-31;2019-09-30;1;HNO - 131 62;Rua Hans Nobiling, 131 - apto 62;99;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;TAB 1666 101;Rua Tabapuã, 1666 - apto 101;126;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;ITA 198 51;Rua Itacema, 198 - apto 51;105;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;MRA 495 - 51;Al. Ministro Rocha Azevedo, 495 - apto 51;139;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;JAU 585 - 62;Al Jaú, 585 - apto 62;158;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;HP 26 - 71;Av. Hélio Pelegrino, 26 - apto 71;126;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;BPA 292 - 131;Rua Bandeira Paulista, 292 - apto 131;119;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;MLO 272 A154;Rua Marcos Lopes, 272 - apto A154;76;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;BPA 49 - 92;Rua Bandeira Paulista, 49 - apto 92;116;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-12-31;1;BB 282 81;Rua Bueno Brandão 282 - 81;292.68;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-12-31;1;CAC 380 101;Rua Caconde 380 - 101;229.34;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-12-31;1;CB 685 101;Alameda Casa Branca 685 - 101;279;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-12-31;1;CIN 63 41;Rua Cinderela 63 - 41;207.04;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-12-31;1;DLE 609 61;Rua Domingos Leme 609 - 61;191.56;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-12-31;1;DMA 604 102;Rua Doutor Melo Alves 604 - 102;187.36;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-12-31;1;FR 425 401;Alameda Franca 425 - 401;206.58;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-12-31;1;ITU 285 21;Alameda Itu 285 - 21;56.45;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-12-31;1;JAU 1325 52;Alameda Jaú 1325 - 52;286.54;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-12-31;1;JAU 1817 61;Alameda Jaú 1817 - 61;292;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-12-31;1;JAU 88 133;Alameda Jaú 88 - 133;132.4;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-12-31;1;JEL 1656 91;Alameda Joaquim Eugênio de Lima 1656 - 91;278.92;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-12-31;1;JF 76 61;Rua Jaques Félix 76 - 61;201.37;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-12-31;1;JL 659 161;Rua João Lourenço 659 - 161;212;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-12-31;1;JML 1055 4;Rua José Maria Lisboa 1055 - 4;207.2;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-12-31;1;MGD 134 91;Rua Manuel Guedes 134 - 91;190.5;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-12-31;1;MGD 385 111;Rua Manuel Guedes 385 - 111;166.07;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-12-31;1;PED 599 50;Rua Pedroso Alvarenga 599 - 50;200.55;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-12-31;1;PJM 774 21;Rua Padre João Manuel 774 - 21;200.96;1;Apartamento residencial pronto para venda;;Venda
19.878.616/0001-98;2019-12-31;1;Sigma Mall;Rua Dr. Bueno, 691 esquina com Av. das Nações Unidas e Rua Açari, no 29º subdistrito - Santo Amaro - São Paulo;178350.45;27;Imóvel adquirido em dezembro de 2019;0.5;Renda
19.878.616/0001-98;2019-12-31;1;Torre Sigma;Rua Dr. Bueno, 691 esquina com Av. das Nações Unidas e Rua Açari, no 29º subdistrito - Santo Amaro - São Paulo;81958.19;28;Imóvel adquirido em dezembro de 2019;0.5;Renda
20.680.775/0001-62;2019-03-29;1;Cond. Comolatti;Av. Paulista, 2537, São Paulo, SP, 01311 - 300;2449.2;6;Direito de Propriedade;0.062348;Renda
21.085.472/0001-64;2019-03-31;1;Torre Almirante;Avenida Almirante Barroso, nº 81, na cidade do Rio de Janeiro, Estado do Rio de Janeiro. Edifício Torre Almirante.;43225.11;75;Em 01.02.2019, o FII adquiriu a fração ideal de 60% do edifício Torre Almirante.;;Renda
21.085.472/0001-64;2019-03-31;1;Edfício Garagem;Avenida Graça Aranha nº 327/327-A/333, na cidade do Rio de Janeiro, Estado do Rio de Janeiro. Edifício Garagem.;16527.14;364;Em 01.02.2019, o FII adquiriu a fração ideal de 60% do edifício Garagem.;;Renda
