CNPJ_Fundo_Classe;Data_Referencia;Versao;Classe;Nome_Endereco_Imovel;Justificativa_Evolucao_Inferior_Previsto;Justificativa_Custo_Superior_Previsto
15.461.076/0001-91;2022-06-30;1;Imóveis para renda em construção;14 unidades Tipo Villas no Hotel Resort  Txai Terravista.;;
15.461.076/0001-91;2022-06-30;1;Imóveis para renda em construção;51 Unidades  Master no Hotel;;
15.461.076/0001-91;2022-06-30;1;Imóveis para renda em construção;34 un salas comerciais do THE ONE OFFICE TOWER TAUBATÉ;;
15.461.076/0001-91;2022-09-30;1;Imóveis para renda em construção;51 Unidades  Master no Hotel;;
15.461.076/0001-91;2022-09-30;1;Imóveis para renda em construção;34 un salas comerciais do THE ONE OFFICE TOWER TAUBATÉ;;
15.461.076/0001-91;2022-09-30;1;Imóveis para renda em construção;64 Unidades Standard no Hotel;;
15.461.076/0001-91;2022-09-30;1;Imóveis para renda em construção;02 unidades tipo bangalôs Hotel Resort Txai Terravista;;
15.461.076/0001-91;2022-09-30;1;Imóveis para renda em construção;3 Centros de Convenções no Hotel;;
15.461.076/0001-91;2022-09-30;1;Imóveis para renda em construção;14 unidades Tipo Villas no Hotel Resort  Txai Terravista.;;
15.461.076/0001-91;2022-12-31;1;Imóveis para renda em construção;51 Unidades  Master no Hotel;;
15.461.076/0001-91;2022-12-31;1;Imóveis para renda em construção;14 unidades Tipo Villas no Hotel Resort  Txai Terravista.;;
15.461.076/0001-91;2022-12-31;1;Imóveis para renda em construção;02 unidades tipo bangalôs Hotel Resort Txai Terravista;;
15.461.076/0001-91;2022-12-31;1;Imóveis para renda em construção;34 un salas comerciais do THE ONE OFFICE TOWER TAUBATÉ;;
15.461.076/0001-91;2022-12-31;1;Imóveis para renda em construção;3 Centros de Convenções no Hotel;;
15.461.076/0001-91;2022-12-31;1;Imóveis para renda em construção;64 Unidades Standard no Hotel;;
16.915.968/0001-88;2022-12-31;2;Imóveis para renda em construção;Corifeu;de acordo com o previsto;de acordo com o previsto
17.211.882/0001-37;2022-03-31;1;Imóveis para renda em construção;.;.;.
17.211.882/0001-37;2022-06-30;1;Imóveis para renda em construção;.;.;.
17.311.079/0001-74;2022-03-31;1;Imóveis para renda em construção;não se aplica;não se aplica;não se aplica
17.311.079/0001-74;2022-06-30;1;Imóveis para renda em construção;não se aplica;não se aplica;não se aplica
17.311.079/0001-74;2022-09-30;1;Imóveis para renda em construção;não se aplica;não se aplica;não se aplica
17.311.079/0001-74;2022-12-31;1;Imóveis para renda em construção;não se aplica;não se aplica;não se aplica
18.259.637/0001-62;2022-12-31;1;Imóveis para venda em construção;N/A;;
18.259.637/0001-62;2022-12-31;1;Imóveis para renda em construção;N/A;;
18.369.510/0001-04;2022-03-31;2;Imóveis para renda em construção;.;.;.
