CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Imovel;Endereco;Data_Alienacao;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Imovel_Total_Investido;Percentual_Imovel_PL
32.655.589/0001-52;2022-03-31;1;1LED1106;Lotes nº 34 e 36, Rua 210, QS 1, T1 Unid. 1106 - Águas Claras-DF;2022-03-22;39.23;1;Nenhuma característica relevante;0.000961;0.006035
32.655.589/0001-52;2022-03-31;1;1LED1410;Lotes nº 34 e 36, Rua 210, QS 1, T1 Unid. 1410 - Águas Claras-DF;2022-03-23;36.99;1;Nenhuma característica relevante;0.002271;0.003609
32.655.589/0001-52;2022-03-31;1;1LED1412;Lotes nº 34 e 36, Rua 210, QS 1, T1 Unid. 1412 - Águas Claras-DF;2022-03-17;39.06;1;Nenhuma característica relevante;0.001505;0.003827
32.655.589/0001-52;2022-03-31;1;1LED1510;Lotes nº 34 e 36, Rua 210, QS 1, T1 Unid. 1510 - Águas Claras-DF;2022-03-22;36.99;1;Nenhuma característica relevante;0.000565;0.003547
32.655.589/0001-52;2022-03-31;1;1LED1611;Lotes nº 34 e 36, Rua 210, QS 1, T1 Unid. 1611 - Águas Claras-DF;2022-03-22;39.06;1;Nenhuma característica relevante;0.000609;0.003827
32.655.589/0001-52;2022-03-31;1;CBR_1304;Av. Jacarandá, 22 Ap.1304 - Águas Claras, Brasília - DF;2022-01-31;41.30;1;Nenhuma característica relevante;0.000822;0.005164
32.655.589/0001-52;2022-03-31;1;VERS_11;Rua Teiceira Heizer, 1.965 Ap.11 - Recreio dos Bandeirantes, Rio de Janeiro-RJ;2022-03-15;184.00;1;Nenhuma característica relevante;0.00308;0.019338
32.655.589/0001-52;2022-06-30;1;DOTO_103;Rua Barão Geraldo de Resende, 97, Sala 103 Guanabara, Campinas - SP;2022-05-04;45.07;1;Nenhuma caracteristica relevante.;0.000807;0.006479
32.655.589/0001-52;2022-06-30;1;DOTO_207;Rua Barão Geraldo de Resende, 97, Sala 207 Guanabara, Campinas - SP;2022-05-06;41.08;1;Nenhuma caracteristica relevante.;0.000724;0.005815
32.655.589/0001-52;2022-06-30;1;DOTO_209;Rua Barão Geraldo de Resende, 97, Sala 209 Guanabara, Campinas - SP;2022-04-04;46.68;1;Nenhuma caracteristica relevante.;0.001009;0.005815
32.655.589/0001-52;2022-06-30;1;DOTO_212;Rua Barão Geraldo de Resende, 97, Sala 212 Guanabara, Campinas - SP;2022-06-06;40.17;1;Nenhuma caracteristica relevante.;0.001169;0.005947
32.655.589/0001-52;2022-06-30;1;DOTO_402;Rua Barão Geraldo de Resende, 97, Sala 402 Guanabara, Campinas - SP;2022-04-13;40.17;1;Nenhuma caracteristica relevante.;0.002275;0.00515
32.655.589/0001-52;2022-06-30;1;DOTO_707;Rua Barão Geraldo de Resende, 97, Sala 707 Guanabara, Campinas - SP;2022-05-25;41.08;1;Nenhuma caracteristica relevante.;0.000401;0.005981
32.655.589/0001-52;2022-06-30;1;NYT_402;Avenida Brasilia nº 2121, Sala 402 - Vila São Paulo, Araçatuba-SP;2022-06-03;42.74;1;Não possui características relevantes;0.002458;0.008025
32.655.589/0001-52;2022-06-30;1;NYT_411;Avenida Brasilia nº 2121, Sala 411 - Vila São Paulo, Araçatuba-SP;2022-06-17;58.57;1;Não possui características relevantes;0.002161;0.010499
