CNPJ_Fundo_Classe,Data_Referencia,Versao,Classe,Nome_Endereco_Imovel,Justificativa_Evolucao_Inferior_Previsto,Justificativa_Custo_Superior_Previsto,CNPJ_Fundo
35.725.659/0001-90,2021-09-30,1,Imóveis para renda em construção,COND COM QUINTINO BOCAIUVA,Devido a escavação em rocha em volume superior ao previsto. Estamos na fase inicial da obra e temos itens futuros a recuperar.,Devido a escavação em rocha em volume superior ao previsto. Estamos na fase inicial da obra e temos itens futuros a recuperar.,
35.725.659/0001-90,2021-12-31,1,Imóveis para renda em construção,COND RES TEENA,"Os desvios aconteceram devido às paralizações do COVID-19,  em 2020 e 2021, em conjunto com a escassez de materias",Não se aplica.,
35.725.659/0001-90,2021-12-31,1,Imóveis para renda em construção,COND COM QUINTINO BOCAIUVA,"A obra não iniciou, está em fase de aprovação de projeto na prefeitura protocolado em fev/2021.",Não se aplica.,
35.765.889/0001-82,2021-12-31,1,Imóveis para renda em construção,Hospital Bandeirantes,Obra finalizada,"O imóvel esta finalizando as melhorias as custas do locatário, conforme acordado.",
35.765.907/0001-26,2021-09-30,1,Imóveis para renda em construção,GOLGI JUNDIAI - PHASE 2,OBRA DENTRO DO CRONOGRAMA,ORÇAMENTO DENTRO DO ORÇAMENTO,
35.765.907/0001-26,2021-12-31,2,Imóveis para renda em construção,GOLGI JUNDIAI - PHASE 2,OBRA DENTRO DO CRONOGRAMA,ORÇAMENTO DENTRO DO ORÇAMENTO,
36.098.375/0001-83,2021-03-31,1,Imóveis para renda em construção,,,,
36.098.375/0001-83,2021-06-30,1,Imóveis para renda em construção,,,,
36.517.660/0001-91,2021-03-31,1,Imóveis para renda em construção,Urbic Tomas Alves,não aplicável,não aplicável,
36.517.660/0001-91,2021-03-31,1,Imóveis para renda em construção,Urbic Sabia,não aplicável,não aplicável,
36.517.660/0001-91,2021-03-31,1,Imóveis para renda em construção,Cyrela for you,não aplicável,não aplicável,
36.517.660/0001-91,2021-06-30,1,Imóveis para renda em construção,Urbic Sabia,não aplicável,não aplicável,
36.517.660/0001-91,2021-06-30,1,Imóveis para renda em construção,Cyrela for you,não aplicável,não aplicável,
36.517.660/0001-91,2021-09-30,1,Imóveis para renda em construção,Urbic Sabia,não aplicável,não aplicável,
36.517.660/0001-91,2021-09-30,1,Imóveis para renda em construção,Cyrela for you,não aplicável,não aplicável,
36.517.660/0001-91,2021-12-31,1,Imóveis para renda em construção,Urbic Sabia,não aplicável,não aplicável,
36.517.660/0001-91,2021-12-31,1,Imóveis para renda em construção,Cyrela for you,não aplicável,não aplicável,
36.673.421/0001-20,2021-12-31,1,Imóveis para venda em construção,Não há,Não há,Não há,
39.601.007/0001-02,2021-06-30,1,Imóveis para renda em construção,Galpão Industrial - Valinhos - SP - loteamento Macuco,Evolução dentro do previsto.,Custos dentro do previsto.,
39.601.007/0001-02,2021-09-30,1,Imóveis para renda em construção,Galpão Industrial - Valinhos - SP - loteamento Macuco,Evolução dentro do previsto.,Custos dentro do previsto.,
39.601.007/0001-02,2021-12-31,1,Imóveis para renda em construção,Galpão Industrial - Valinhos - SP - loteamento Macuco,Evolução dentro do previsto.,Custos dentro do previsto.,
40.041.723/0001-53,2021-06-30,1,Imóveis para renda em construção,Cyrela On The Parc By Yoo,Não se aplica,Não se aplica,
