CNPJ_Fundo_Classe,Data_Referencia,Versao,Endereco,Data_Alienacao,Area,Outras_Caracteristicas_Relevantes,Percentual_Terreno_Total_Investido,Percentual_Terreno_PL,CNPJ_Fundo
,2020-12-31,1,"Rua Vergueiro, 5.002 - Chacara Klabin - São Paulo/SP",2020-10-09,8580.0,"O terreno em questão está localizado no limite da Chácara Klabin em uma via conceituada no cenário regional para uso residencial e de serviços, a Rua Vergueiro, com facilidades de acesso para vários bairros de São Paulo. Além disso, possui outra importante via de grande importância no cenário da região, a Ricardo Jafet, que liga a Rodovia Imigrantes ao bairro do Ipiranga, permitindo um deslocamento rápido a outras regiões de São Paulo e também para a baixada santista.",0.251335,0.177114,11.326.746/0001-06
,2020-06-30,1,Gleba Santa Cruz  Mat 7187 - Maracaju - MS,2020-06-15,3000000.0,,0.48,0.001,12.358.507/0001-09
,2020-12-31,2,Maracajaú - RN,2020-11-16,470.0,Fazenda Santa Cruz. Parte,0.01,0.01,12.358.507/0001-09
,2020-09-30,1,"RUA MANOEL DE SOVERAL, Nº 136",2020-07-14,1913.75,prédio comercial,0.0,0.0,13.598.226/0001-88
,2020-09-30,1,RUA VOLUNTÁRIOS DA PÁTRIA S/N,2020-07-14,1925.11,prédio comercial,0.0,0.0,13.598.226/0001-88
,2020-12-31,1,"RUA MANOEL DE SOVERAL, Nº 136",2020-07-14,1913.75,prédio comercial,0.0,0.0,13.598.226/0001-88
,2020-12-31,1,RUA VOLUNTÁRIOS DA PÁTRIA S/N,2020-07-14,1925.11,prédio comercial,0.0,0.0,13.598.226/0001-88
,2020-06-30,1,"Terreno - Praça São Sebastião, 411 , Centro Presidente Dutra - MA",1901-04-28,484.0,,0.0132987565662611,0.000940918717086,23.964.908/0001-10
,2020-09-30,1,"RUA 3, S/N BRAGANÇA PAULISTA, SÃO PAULO - SP",2020-08-20,3370.0,Lote 01,1.0,0.02861,26.502.761/0001-35
,2020-09-30,1,"RUA 3, S/N BRAGANÇA PAULISTA, SÃO PAULO - SP",2020-08-20,3370.0,Lote 08,1.0,0.02861,26.502.761/0001-35
13.320.290/0001-00,2025-03-31,1,"Avenida Francisco Roveri, S/n°, Sem Complemento, Parque Almerinda Pereira Chaves, Jundiaí/SP, Brasil, 13212-541",2025-02-24,108557.0,Direito de Propriedade,0.0,0.0,
13.320.290/0001-00,2025-03-31,1,"Avenida Luiz Gushiken, S/n°, Sem Complemento, Fazenda Grande, Jundiaí/SP, Brasil, 13212-437",2025-02-24,27093.3,Direito de Propriedade,0.0,0.0,
16.915.968/0001-88,2025-03-31,1,"Rua Luís Gemin, Bairro Descampado, Campinas - SP",2025-03-27,177057.0,Não possui,0.917143,0.013834,
12.358.507/0001-09,2022-09-30,1,Fazenda Passatempo - Rio Brilhante MS,2022-09-29,20158700.0,,0.219828,0.047089,
12.989.974/0001-29,2022-06-30,2,"Praça Marechal Hermes, nº 63, LOTE 1 , QUADRAS 1. Bairro Santo Cristo, Município do Rio de Janeiro, Estado do Rio de Janeiro",2022-05-20,19986.1,"Venda de parte do terreno denominado Praia Formosa, para desenvolvimento do empreendimento ""Porto Carioca"", com 1472 unidades residenciais, para lançamento no segundo semestre de 2022.",,,
12.989.974/0001-29,2022-09-30,1,"Avenida São Cristovão, nº 1200, Bairro São Cristóvão, Município do Rio de Janeiro, Estado do Rio de Janeiro",2022-07-14,26617.0,"Imissão na posse pela Prefeitura Municipal do Rio de Janeiro em 14/07/2022 devido a processo de desapropriação por parte do Município do RJ, em decorrência do Decreto 49116/2021, que declarou o imóvel como de interesse público. Alienação junto ao cartório de imóveis ainda pendente.",,,
16.915.968/0001-88,2022-12-31,2,"Rua Lauro de Freitas, 451, Vila Sonia, São Paulo-SP",2022-11-30,1840.0,Não possui,0.2203,0.021,
