CNPJ_Fundo_Classe,Data_Referencia,Versao,Endereco,Area,Outras_Caracteristicas_Relevantes,Percentual_Terreno_Total_Investido,Percentual_Terreno_PL,CNPJ_Fundo
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,412.73,QUADRA 13 - LOTE 12 - JD. DAS MACAUBAS,0.013116375823204,0.0080381253757158,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,412.73,QUADRA 13 - LOTE 13 - JD. DAS MACAUBAS,0.013116375823204,0.0080381253757158,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,412.73,QUADRA 13 - LOTE 14 - JD. DAS MACAUBAS,0.013116375823204,0.0080381253757158,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,412.73,QUADRA 13 - LOTE 15 - JD. DAS MACAUBAS,0.013116375823204,0.0080381253757158,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,412.73,QUADRA 13 - LOTE 16 - JD. DAS MACAUBAS,0.013116375823204,0.0080381253757158,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,412.73,QUADRA 13 - LOTE 17 - JD. DAS MACAUBAS,0.013116375823204,0.0080381253757158,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,414.13,QUADRA 13 - LOTE 2 - JD. DAS MACAUBAS,0.0131608672005027,0.0080653910833843,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,412.25,QUADRA 13 - LOTE 3 - JD. DAS MACAUBAS,0.0131011216367016,0.0080287771330867,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,414.3,QUADRA 13 - LOTE 4 - JD. DAS MACAUBAS,0.0131662697248889,0.0080687019193155,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,417.96,QUADRA 13 - LOTE 5 - JD. DAS MACAUBAS,0.0132825828969698,0.008139982269363,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,484.72,QUADRA 13 - LOTE 6 - JD. DAS MACAUBAS,0.0154041860030127,0.0094401670150389,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,484.72,QUADRA 13 - LOTE 7 - JD. DAS MACAUBAS,0.0154041860030127,0.0094401670150389,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,416.25,QUADRA 13 - LOTE 9 - JD. DAS MACAUBAS,0.013228239857555,0.0081066791549965,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,408.0,QUADRA 14 - LOTE 11 - JD. DAS MACAUBAS,0.0129660585270449,0.0079460062348074,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,408.0,QUADRA 14 - LOTE 12 - JD. DAS MACAUBAS,0.0129660585270449,0.0079460062348074,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,408.0,QUADRA 14 - LOTE 13 - JD. DAS MACAUBAS,0.0129660585270449,0.0079460062348074,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,408.0,QUADRA 14 - LOTE 20 - JD. DAS MACAUBAS,0.0129660585270449,0.0079460062348074,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,408.0,QUADRA 14 - LOTE 21 - JD. DAS MACAUBAS,0.0129660585270449,0.0079460062348074,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,408.0,QUADRA 14 - LOTE 22 - JD. DAS MACAUBAS,0.0129660585270449,0.0079460062348074,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,408.0,QUADRA 14 - LOTE 26 - JD. DAS MACAUBAS,0.0129660585270449,0.0079460062348074,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,1462.0,QUADRA 14 - LOTE 27 - JD. DAS MACAUBAS,0.0464617097219108,0.0284731890080601,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,408.0,QUADRA 14 - LOTE 4 - JD. DAS MACAUBAS,0.0129660585270449,0.0079460062348074,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,408.0,QUADRA 14 - LOTE 5 - JD. DAS MACAUBAS,0.0129660585270449,0.0079460062348074,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,408.0,QUADRA 14 - LOTE 6 - JD. DAS MACAUBAS,0.0129660585270449,0.0079460062348074,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,408.0,QUADRA 14 - LOTE 7 - JD. DAS MACAUBAS,0.0129660585270449,0.0079460062348074,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,408.0,QUADRA 14 - LOTE 8 - JD. DAS MACAUBAS,0.0129660585270449,0.0079460062348074,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,408.0,QUADRA 15 - LOTE 1 - JD. DAS MACAUBAS,0.0129660585270449,0.0079460062348074,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,408.0,QUADRA 15 - LOTE 2 - JD. DAS MACAUBAS,0.0129660585270449,0.0079460062348074,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,408.0,QUADRA 15 - LOTE 3 - JD. DAS MACAUBAS,0.0129660585270449,0.0079460062348074,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,408.0,QUADRA 15 - LOTE 4 - JD. DAS MACAUBAS,0.0129660585270449,0.0079460062348074,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,482.16,QUADRA 15 - LOTE 5 - JD. DAS MACAUBAS,0.0153228303416665,0.0093903097210165,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,574.55,QUADRA 15 - LOTE 6 - JD. DAS MACAUBAS,0.0182589434478275,0.01118965167208,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,448.19,QUADRA 16 - LOTE 10 - JD. DAS MACAUBAS,0.0142432788510692,0.0087287267999469,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,448.19,QUADRA 16 - LOTE 11 - JD. DAS MACAUBAS,0.0142432788510692,0.0087287267999469,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,1481.63,QUADRA 16 - LOTE 12 - JD. DAS MACAUBAS,0.0470855423907487,0.0288554931805828,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,442.49,QUADRA 16 - LOTE 2 - JD. DAS MACAUBAS,0.0140621353863531,0.0086177164187253,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,442.49,QUADRA 16 - LOTE 3 - JD. DAS MACAUBAS,0.0140621353863531,0.0086177164187253,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,442.49,QUADRA 16 - LOTE 4 - JD. DAS MACAUBAS,0.0140621353863531,0.0086177164187253,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,490.29,QUADRA 17 - LOTE 1 - JD. DAS MACAUBAS,0.015581198125551,0.0095486455805484,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,456.0,QUADRA 17 - LOTE 12 - JD. DAS MACAUBAS,0.0144914771772854,0.0088808304977259,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,456.29,QUADRA 17 - LOTE 13 - JD. DAS MACAUBAS,0.0145006932482973,0.0088864783943144,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,441.19,QUADRA 17 - LOTE 14 - JD. DAS MACAUBAS,0.0140208219645758,0.0085923982616046,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,470.27,QUADRA 17 - LOTE 2 - JD. DAS MACAUBAS,0.0149449714301799,0.0091587459608894,
