CNPJ_Fundo_Classe,Data_Referencia,Versao,Endereco,Outras_Caracteristicas_Relevantes,Area,Percentual_Terreno_Total_Investido,Percentual_Terreno_PL,CNPJ_Fundo
10.456.799/0001-89,2023-09-30,2,"Av. Manoel Elias, 891 e 901, Passo das Pedras, Porto Alegre-RS",Nenhuma,23157.42,0.0,0.0,
10.456.799/0001-89,2023-12-31,2,"Av. Das Indústrias, 1587, Bairro São João, Porto Alegre-RS. Quadra A, lote 1 ao 5 e Quadras B ao G, lotes 1.",Nenhuma,272389.28,0.0,0.0,
10.456.799/0001-89,2023-12-31,2,"Av. Veríssimo de Amaral, 320, Bairro Passo d'Areia, Porto Alegre-RS. Quadra G.",Nenhuma,22269.82,0.0,0.0,
10.456.799/0001-89,2023-12-31,2,"Rua Antônio Carlos Berta, 345, Bairro Boa Vista, Porto Alegre-RS. Quadra G.",Nenhuma,16837.79,0.0,0.0,
10.456.799/0001-89,2023-12-31,2,"Av. Veríssimo de Amaral, 50, Bairro Passo d'Areia, Porto Alegre-RS. Quadra I.",Nenhuma,9068.73,0.0,0.0,
10.456.799/0001-89,2023-12-31,2,"Av. Senador Tarso Dutra, 735, Bairro Petropolis, Porto Alegre-RS. Quadra C, lote 1.",Nenhuma,16618.56,0.0,0.0,
10.456.799/0001-89,2023-12-31,2,"Av. Senador Tarso Dutra, 495, Bairro Petropolis, Porto Alegre-RS. Quadra H, lote 1A.",Nenhuma,2216.43,0.0,0.0,
10.456.799/0001-89,2023-12-31,2,"Mário Leitão, 150, Bairro Petropolis, Porto Alegre-RS. Quadra H, lote 3A.",Nenhuma,6034.29,0.0,0.0,
10.456.799/0001-89,2023-12-31,2,"Av. Veríssimo do Amaral, 37 , Bairro Passo d'Areia, Porto Alegre-RS. Quadra 154, lote 1 ao 3.",Nenhuma,1153.19,0.0,0.0,
10.456.799/0001-89,2023-12-31,2,"Av. Dr. Nilo Peçanha, Bairro Chácara das Pedras, Porto Alegre-RS. Quadra 154 , lotes do 14 ao 22.",Nenhuma,4513.65,0.0,0.0,
10.456.799/0001-89,2023-12-31,2,"Rua Cel Genes Bento, Vila Ipiranga, Porto Alegre-RS. Quadra 154, lotes do 23 ao 27.",Nenhuma,2783.22,0.0,0.0,
10.456.799/0001-89,2023-12-31,2,"Rua Juncal, 40, 50 e 60, Vila Ipiranga, Porto Alegre-RS. Quadra 154, lotes do 28 ao 30.",Nenhuma,1578.24,0.0,0.0,
10.456.799/0001-89,2023-12-31,2,"Av. Nilo Peçanha, 3410, 3420 e 3430, Bairro Chácara das Pedras, Porto Alegre-RS. Quadra 153, lotes 1 ao 12.",Nenhuma,5445.18,0.0,0.0,
10.456.799/0001-89,2023-12-31,2,"Av. Nilo Peçanha, 3530, Bairro Chácara das Pedras, Porto Alegre-RS. Quadra 14, lote 631.",Nenhuma,554.23,0.0,0.0,
10.456.799/0001-89,2023-12-31,2,"Rua Vinte e Quatro de Maio 368, Vila Rosa, Novo Hamburgo-RS. Lotes A e B.",Nenhuma,13345.19,0.0,0.0,
10.456.799/0001-89,2023-12-31,2,"Av. Nações Unidas s/n, Vila Rosa, Novo Hamburgo-RS. Lote C.",Nenhuma,31744.81,0.0,0.0,
10.456.799/0001-89,2023-12-31,2,"Av. Severo Dullius, 895, Bairro São João, Porto Alegre-RS",Nenhuma,3000.1,0.0,0.0,
10.456.799/0001-89,2023-12-31,2,"Av. Severo Dullius, 1025, Bairro São João, Porto Alegre-RS",Nenhuma,4400.0,0.0,0.0,
10.456.799/0001-89,2023-12-31,2,"Av. Dos Estados, 1713, Bairro São João, Porto Alegre-RS",Nenhuma,14154.41,0.0,0.0,
10.456.799/0001-89,2023-12-31,2,"Rua Mirim, 146, Vila Ipiranga, Porto Alegre-RS",Nenhuma,217.0,0.0,0.0,
10.456.799/0001-89,2023-12-31,2,"Av. Manoel Elias, 891 e 901, Passo das Pedras, Porto Alegre-RS",Nenhuma,23157.42,0.0,0.0,
11.268.335/0001-01,2023-03-31,1,"Fazenda Indaiatuba, Alameda Porteira de Ferro",Nenhuma característica relevante,37303.0,1.0,0.0,
11.268.335/0001-01,2023-06-30,1,"Fazenda Indaiatuba, Alameda Porteira de Ferro",Nenhuma característica relevante,37303.0,1.0,0.060589,
11.268.335/0001-01,2023-09-29,1,"Fazenda Indaiatuba, Alameda Porteira de Ferro",Nenhuma característica relevante,37303.0,0.5,0.56747,
