CNPJ_Fundo_Classe,Data_Referencia,Versao,Nome_Endereco_Imovel,Caracteristicas_Contratuais,CNPJ_Fundo
,2019-12-31,1,Loja Comercial 1 - Edifício Trade Center,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-12-31,1,NIG - Avenida Nilo Peçanha,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-12-31,1,CAC - Rua Treze de Maio,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-12-31,1,DQE - Praça do Pacificador,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-12-31,1,REC - Avenida Conde de Boa Vista,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-12-31,1,TIJ - Rua Conde de Bonfim,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-12-31,1,SPC - Centro de São Paulo,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-12-31,1,Lojas de Rua - São Luís do Maranhão,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-12-31,1,NOR - Norte Shopping,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-12-31,1,"Salão Multiplo Uso 1, 2 e 32 - Goiânia Shopping",Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-12-31,1,BHD - Shopping Del Rey,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-12-31,1,COP - GAR,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-12-31,1,COP - Av. Nossa Senhora de Copacabana,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-03-31,1,Posto de Combustível,"Contratos de locação atipico com prazo indeterminado, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo o locatário, correção anual do valor da locação pelo IGP-M.",08.417.532/0001-30
,2019-03-31,1,Posto de Combustível,"Contratos de locação atipico com prazo indeterminado, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo o locatário, correção anual do valor da locação pelo IGP-M.",08.417.532/0001-30
,2019-03-31,1,Posto de Combustível,"Contratos de locação atipico com prazo indeterminado, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo o locatário, correção anual do valor da locação pelo IGP-M.",08.417.532/0001-30
,2019-03-31,1,Posto de Combustível,"Contratos de locação atipico com prazo indeterminado, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo o locatário, correção anual do valor da locação pelo IGP-M.",08.417.532/0001-30
,2019-03-31,1,Posto de Combustível,"Contratos de locação atipico com prazo indeterminado, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo o locatário, correção anual do valor da locação pelo IGP-M.",08.417.532/0001-30
,2019-03-31,1,Posto de Combustível,"Contratos de locação atipico com prazo indeterminado, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo o locatário, correção anual do valor da locação pelo IGP-M.",08.417.532/0001-30
,2019-03-31,1,Posto de Combustível,"Contratos de locação atipico com prazo indeterminado, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo o locatário, correção anual do valor da locação pelo IGP-M.",08.417.532/0001-30
