CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Endereco_Imovel;Caracteristicas_Contratuais
22.340.978/0001-35;2021-03-31;1;ALONSO1;Não há
22.340.978/0001-35;2021-03-31;1;ALONSO2;Não há
22.340.978/0001-35;2021-03-31;1;AMARAL1;Não há
22.340.978/0001-35;2021-03-31;1;ANTONIOA;Não há
22.340.978/0001-35;2021-03-31;1;APLUB 1;Não há
22.340.978/0001-35;2021-03-31;1;APTO A;Não há
22.340.978/0001-35;2021-03-31;1;BARAOM;Não há
22.340.978/0001-35;2021-03-31;1;BGOMES;Não há
22.340.978/0001-35;2021-03-31;1;BOIMIRIM;Não há
22.340.978/0001-35;2021-03-31;1;CONJ REG;Não há
22.340.978/0001-35;2021-03-31;1;CUBAS1;Não há
22.340.978/0001-35;2021-03-31;1;DA MATRI;Não há
22.340.978/0001-35;2021-03-31;1;DOM PEDR;Não há
22.340.978/0001-35;2021-03-31;1;FLOR1;Não há
22.340.978/0001-35;2021-03-31;1;GLICERIO;Não há
22.340.978/0001-35;2021-03-31;1;INGL1;Não há
22.340.978/0001-35;2021-03-31;1;JABA1;Não há
22.340.978/0001-35;2021-03-31;1;KERR1;Não há
22.340.978/0001-35;2021-03-31;1;LINS1;Não há
22.340.978/0001-35;2021-03-31;1;MARCILIO;Não há
22.340.978/0001-35;2021-03-31;1;NEWTON P;Não há
22.340.978/0001-35;2021-03-31;1;PARADA1;Não há
22.340.978/0001-35;2021-03-31;1;SANTANA1;Não há
22.340.978/0001-35;2021-03-31;1;SOLDADO;Não há
22.340.978/0001-35;2021-03-31;1;TAGUAIBA;Não há
22.340.978/0001-35;2021-03-31;1;VIANCO;Não há
22.340.978/0001-35;2021-03-31;1;VISC1;Não há
22.340.978/0001-35;2021-03-31;1;PENHA;Não há
22.340.978/0001-35;2021-03-31;1;FLAMBOYANT;Não há
22.340.978/0001-35;2021-03-31;1;CESAR MOTA;Não há
22.340.978/0001-35;2021-06-30;2;12 OUTUB;Não há
22.340.978/0001-35;2021-06-30;2;ADOL1;Não há
22.340.978/0001-35;2021-06-30;2;ALONSO1;Não há
22.340.978/0001-35;2021-06-30;2;ALONSO2;Não há
22.340.978/0001-35;2021-06-30;2;AMARAL1;Não há
22.340.978/0001-35;2021-06-30;2;ANTONIOA;Não há
22.340.978/0001-35;2021-06-30;2;APLUB 1;Não há
22.340.978/0001-35;2021-06-30;2;APTO A;Não há
22.340.978/0001-35;2021-06-30;2;BARAOM;Não há
